question_id,question_text,specialty
002a4c98-2f31-4de0-8820-fb48ae471712,"Is it appropriate to proceed with Cycle 4 of FOLFOX in a patient with metastatic cholangiocarcinoma whose oxaliplatin has already been dose-reduced by 25% and 5-FU bolus omitted since Cycle 1, with ANC values of 1390, 1450, and 1300 before Cycles 2, 3, and 4 respectively, and platelets trending down from a baseline of 110-120 to 79 before Cycle 4?",Oncology / Hematology
00bf2180-f8e4-49b3-974b-7af8a4a3b34b,Can Leuconostoc be isolated as a contaminant from a blood culture?,Infectious Disease
0491057f-7f10-4b66-bf27-b027fae4565c,Is a central mesenteric lymph node considered regional adenopathy for middle or distal esophageal carcinoma?,Surgical Oncology
05100e52-4a85-44d7-98df-4fa5c773ea14,What investigations are included in the assessment of menopause?,OB / GYN
05d7fe92-7253-42f3-8875-3b1ff5f97f61,At what time point should blood testing be conducted following a CGM sensor needle stick injury that happened more than 12 hours ago in a 14-month-old child who has not received the hepatitis B vaccine?,Pediatrics
080cfd4b-f431-48c6-b434-f6f09ae6d2be,Is it safe to use beetroot supplements to improve circulation in a patient with chronic kidney disease and a GFR of 19 mL/min?,Nephrology
081cc387-6808-4aaa-b947-4475304345cf,What are the benefits of oral minoxidil for male pattern baldness compared to topical minoxidil and other available treatments?,Dermatology
0978b441-dc3d-407b-a471-693ceb4da6f0,What is the appropriate antibiotic duration for a non-surgical patient with appendicitis complicated by bacteremia due to E. coli and E. faecium that has cleared?,Infectious Disease
099b99f5-00b9-4abd-888d-2292ed70d0cc,How many months is dostarlimab administered as adjuvant therapy for advanced endometrial cancer?,Oncology / Hematology
09eb1da3-5617-4828-91ea-e6b60124e4c6,What is the appropriate stress dose of steroids for a postoperative patient who is on prednisone 5mg twice daily?,Anesthesiology
0b6252d5-50d7-4cca-b962-4546fe1b056b,Is clopidogrel an appropriate treatment for pulmonary embolism?,Pulmonology
0b6e709d-f977-425b-9b49-bee78e6a7023,What is the appropriate ivermectin dosage for a 75-pound 12-year-old female child?,Pediatrics
0f5b6ff2-0441-4f38-bdcc-97ffa20a2ac3,Could treatment-resistant bullous pemphigoid following total knee arthroplasty be triggered by metal hypersensitivity?,Dermatology
107959cf-7af0-4bfe-8e53-7669f4d493de,Management of staghorn calculi with concurrent UTI in a young healthy female patient,Urology
10875205-ddb7-4494-8de8-a908bdc3c4b1,Is there evidence-based support for initiating low-dose levothyroxine in a woman of reproductive age with TSH in the low-normal range who is attempting to conceive?,Endocrinology
10d986a7-597d-4bb8-bb64-9243aebebeb9,"What are the key management considerations for candidemia in a critically ill patient who has essential central venous access (including hemodialysis and vasopressor lines) that cannot be easily removed — specifically regarding line exchange timing, the urgency of ophthalmologic evaluation in an intubated patient who cannot report visual symptoms, and whether total parenteral nutrition should be discontinued right away?",Critical Care
1106cf17-8ad6-43ac-9d99-d9b8f1124484,How does flibanserin achieve its therapeutic effect?,OB / GYN
118415fb-c446-4f1a-9ba4-a75c4ce338f3,What are PFT z-scores and how are they used in interpreting pulmonary function tests?,Pulmonology
120f4352-9416-4cc5-8d39-9e3acaed2335,"Can you explain why the tacrolimus target level is individualized and titrated in renal transplant recipients? Additionally, if a patient's tacrolimus level is supratherapeutic relative to their personal goal but still falls within the broadly accepted reference range, could this still result in neurotoxicity or changes in mental status?",Transplantation
1251ff09-f34d-4486-9d64-bf120aa53cca,What is Castleman's disease?,Oncology / Hematology
14b65d01-fb0a-4c60-96b0-4f53c4b636cf,What are the causes of microcytic anemia?,Internal Medicine
15551594-18ab-4efa-b0b5-81029702256b,Should a placenta with its edge 1 cm from the os but with a large placental lake/sinus directly overlying the cervical os with maternal flow be managed as a placenta previa?,OB / GYN
168b7031-80a8-48cd-8e23-046864ebcca6,What is the recommended hydrocortisone replacement dose for a 70-year-old patient who has developed iatrogenic adrenal insufficiency after 5 years of dexamethasone-containing supplement use?,Endocrinology
16c0fc15-6734-4d0c-962a-05dd4391207c,"23 hours of life infant with prenatally detected right-sided hydronephrosis. Postnatal labs show Cr 0.91, K 5.0, Na 150. How do you interpret these laboratory findings?",Pediatrics
18972b64-8043-4ba5-ba67-803482bf81dd,Localized furuncle on the breast. What antibiotic would you recommend?,Family Medicine
18fd89e7-5a3a-41cf-b849-10701c0f258c,What are the CT scan findings in endometriosis?,Radiology
1a664586-4682-499d-90ee-7b675638251c,What is the recommended treatment for perianal rash in a patient with HIV?,Allergy & Immunology
1ba1604e-256f-464e-8c6d-e67ebe23631f,What is the appropriate lactulose dose for a 17-day-old male infant weighing 3.58 kg who presents with constipation?,Pediatrics
1d37e63a-6a54-4030-b120-78e51d4a33c1,"If a patient with mild cognitive impairment is already taking a cholinesterase inhibitor but subsequently undergoes amyloid PET imaging that returns negative, is there justification for continuing the medication?",Neurology
1f0f8345-9991-427f-a505-435fa999b98f,What is the appropriate treatment for tinea corporis (ringworm) on the back in a 42-year-old woman with no significant medical history who presents with multiple lesions?,Dermatology
1f31941b-4807-484f-8881-8a37696c5331,What are the FDA-approved indications for adalimumab?,Rheumatology
1f3484de-893f-4f24-9677-930bed0a8871,What is the investigation of choice for assessing pneumomediastinum?,Pulmonology
21b0cc35-cc89-4412-ae59-1f949a689671,"What is the most likely diagnosis in this patient presenting with recurrent summer burning sensation along the thigh that worsens with heat exposure, without rash, with transiently positive dsDNA and mildly elevated inflammatory markers that normalized on repeat testing?",Rheumatology
21f17cb4-5fe0-40bb-8b01-07cfac459451,What is the process for transitioning from Adderall XR 30mg to Mydayis?,Psychiatry
2301da94-b7f4-4a7f-bbe2-1c78d2769440,"Are patients with CREST syndrome presenting with calcinosis and gastrointestinal dysmotility, but lacking interstitial lung disease, typically managed with immunosuppressive therapy?",Rheumatology
2592b8cc-a797-4735-b16c-cc521fa84d43,"Patient with history of recurrent UTIs due to multidrug-resistant organisms, indwelling PUJ stent with chronic obstruction requiring routine exchanges, now admitted for management of another episode of UTI",Urology
27d07305-fe4d-4151-8bd3-f4262b06c2b5,Have there been any documented case reports of pilonidal disease occurring in a skin fold at the nape of the neck?,Surgery
29799072-170b-46a5-817c-f5ffb9433286,"What prophylactic treatment should be given to an 82-year-old woman with a prior history of superficial thrombophlebitis of the leg following prolonged air travel, who completed a 45-day course of rivaroxaban and is now planning another long-distance flight three months later?",Internal Medicine
2bb555d5-1921-4350-8007-38b18e9cddc6,What is the preferred management for early-stage prostate cancer in a 71-year-old patient?,Urology
2c127941-6e21-4787-bc5b-db7fe9c1f2d6,"What is the appropriate next step in managing a 74-year-old presenting for an initial outpatient primary care visit with a blood pressure of 151/117 mmHg, heart rate of 82 bpm, oxygen saturation of 96%, and a history of cataracts for which they use latanoprost eye drops?",Primary Care
2ce16c46-3376-4ebe-bac2-b5a679746fb1,What is the utility of advanced CT imaging in the assessment of chronic thromboembolic pulmonary hypertension?,Pulmonology
2cef781c-7e47-4355-ba0e-c22ccea92066,"What is the appropriate next step in the workup for a 76-year-old woman with persistently suppressed renin and mildly elevated aldosterone (ARR suggesting possible primary aldosteronism), who has not yet completed the confirmatory sodium loading test, and whose blood pressure remains largely controlled on her current regimen?",Endocrinology
2e304e8c-8809-4df8-bf86-521a6a87dba1,How long is convalescent leave typically granted following a bunionectomy?,Orthopedics
2fc2559e-8a56-48ea-9b36-83a9a20ddcb1,Is splinting still appropriate for a right hand 5th distal phalanx base fracture if the patient has gone three weeks without immobilization due to being incarcerated?,Emergency Medicine
3364023e-cd0f-4975-a1f5-048f9eb2654f,"Should a 64-year-old male with ESRD on hemodialysis, currently being treated for Pott's disease with RIPE therapy and B6, undergo renal transplantation immediately or wait until he has completed treatment and remained disease-free for one year?",Transplantation
34d58159-a7be-4979-85be-99e135f9b4f9,"If hematocrit rises to 51% following initiation of testosterone 75mg weekly, what modification to the testosterone regimen should be made, and at what interval should the hematocrit be reassessed?",Endocrinology
36009db6-fa13-4300-8ec3-cfb1c3be5ecd,What is the recommended management for Gardnerella vaginalis infection?,OB / GYN
36c7845a-ed31-49c3-8ec6-a338818db4d9,Should antifibrotic treatment be initiated immediately at diagnosis in combined pulmonary fibrosis and emphysema?,Pulmonology
39ebbd5a-2034-40fb-89ed-31ea0df9d132,Can patients with active lupus nephritis present with isolated proteinuria in the absence of hematuria?,Nephrology
3ca513b6-dede-4c0a-be2b-8d190ea4a639,What is the empiric steroid treatment for pulmonary crazy paving pattern?,Pulmonology
3f9081c4-cb6c-4ee7-a3f1-002cc1277450,What do clinical guidelines recommend regarding the concurrent use of a sulfonylurea alongside insulin therapy?,Endocrinology
41b1cbcd-4a7e-4d54-bb06-7b6cb6a7ec65,"If a patient is taking both an ACE inhibitor and Metoprolol along with a dihydropyridine CCB and HCTZ, does this truly represent a four-drug antihypertensive regimen, or should it functionally be counted as three drugs given the blunted additive blood pressure lowering effect seen when combining an ACE inhibitor with a beta-blocker?",Cardiology
4458569d-0a11-4196-9350-dc1de4e27565,What are the secondary effects of escitalopram when used for anxiety?,Psychiatry
4538103f-6bda-4be4-8e38-ee72351a88d4,Is there evidence that restricting oral intake in a patient with a low-output enterocutaneous fistula who is already on TPN would promote faster fistula closure compared to allowing continued oral feeding?,Surgery
45b205af-f8ef-4b71-97a6-683ffc049b39,Is measuring CRP levels in depressed patients clinically useful for directing their treatment?,Psychiatry
4ab96e9f-3c17-4712-86b7-59ad06a81f8d,What are the indications for varicella-zoster immunoglobulin administration in neonates?,Pediatrics
4b7cfc7e-dbff-4534-8dcf-83690d89498c,What anatomical features are considered high risk for carotid endarterectomy?,Surgery
4d220b84-8c52-455a-a3da-87f5ef5ba104,"What is the maximum dose of Sensipar, and what is the delta troponin threshold at 4 hours?",Cardiology
4d4532af-4457-4572-8f5b-ba755275aa8e,What is the degree of ICA stenosis following carotid endarterectomy when intimal hyperplasia is present on ultrasound with peak systolic velocity of 180 cm/s and end-diastolic velocity of 60 cm/s but no plaque identified?,Radiology
4fb7b9fe-7fdf-4828-9dea-97718c7bfbed,What happens to free T3 levels during pregnancy?,Endocrinology
50bb83bb-57bc-4e7f-8b01-20d493290b2d,"What is the most likely diagnosis in a patient with calcium 10.5, PTH 173, and vitamin D 15?",Endocrinology
51c3dd76-6a6e-4e7c-ad9f-011f65a78957,What are the available treatment options for progressive macular hypomelanosis and how effective are they?,Dermatology
5560f33e-e26d-46f8-8538-7d90c66f8a69,What pulmonary toxicity is associated with paclitaxel?,Oncology / Hematology
