question_id,provider,char_len,has_citation
002a4c98-2f31-4de0-8820-fb48ae471712,claude-opus-4-8,4243,0
002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.1-pro,3427,0
002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.5,3911,0
002a4c98-2f31-4de0-8820-fb48ae471712,openevidence,4852,0
00bf2180-f8e4-49b3-974b-7af8a4a3b34b,claude-opus-4-8,3930,0
00bf2180-f8e4-49b3-974b-7af8a4a3b34b,gemini-3.1-pro,3484,0
00bf2180-f8e4-49b3-974b-7af8a4a3b34b,gpt-5.5,2316,0
00bf2180-f8e4-49b3-974b-7af8a4a3b34b,openevidence,2576,0
0491057f-7f10-4b66-bf27-b027fae4565c,claude-opus-4-8,2318,0
0491057f-7f10-4b66-bf27-b027fae4565c,gemini-3.1-pro,2014,0
0491057f-7f10-4b66-bf27-b027fae4565c,gpt-5.5,1434,0
0491057f-7f10-4b66-bf27-b027fae4565c,openevidence,2971,0
05100e52-4a85-44d7-98df-4fa5c773ea14,claude-opus-4-8,3146,0
05100e52-4a85-44d7-98df-4fa5c773ea14,gemini-3.1-pro,3902,0
05100e52-4a85-44d7-98df-4fa5c773ea14,gpt-5.5,3277,0
05100e52-4a85-44d7-98df-4fa5c773ea14,openevidence,4275,1
05d7fe92-7253-42f3-8875-3b1ff5f97f61,claude-opus-4-8,2870,0
05d7fe92-7253-42f3-8875-3b1ff5f97f61,gemini-3.1-pro,3793,0
05d7fe92-7253-42f3-8875-3b1ff5f97f61,gpt-5.5,1856,0
05d7fe92-7253-42f3-8875-3b1ff5f97f61,openevidence,2301,0
080cfd4b-f431-48c6-b434-f6f09ae6d2be,claude-opus-4-8,5625,0
080cfd4b-f431-48c6-b434-f6f09ae6d2be,gemini-3.1-pro,2698,0
080cfd4b-f431-48c6-b434-f6f09ae6d2be,gpt-5.5,2224,0
080cfd4b-f431-48c6-b434-f6f09ae6d2be,openevidence,3135,0
081cc387-6808-4aaa-b947-4475304345cf,claude-opus-4-8,6585,0
081cc387-6808-4aaa-b947-4475304345cf,gemini-3.1-pro,4474,0
081cc387-6808-4aaa-b947-4475304345cf,gpt-5.5,5525,0
081cc387-6808-4aaa-b947-4475304345cf,openevidence,3621,0
0978b441-dc3d-407b-a471-693ceb4da6f0,claude-opus-4-8,5044,0
0978b441-dc3d-407b-a471-693ceb4da6f0,gemini-3.1-pro,3132,0
0978b441-dc3d-407b-a471-693ceb4da6f0,gpt-5.5,2628,0
0978b441-dc3d-407b-a471-693ceb4da6f0,openevidence,3491,0
099b99f5-00b9-4abd-888d-2292ed70d0cc,claude-opus-4-8,897,0
099b99f5-00b9-4abd-888d-2292ed70d0cc,gemini-3.1-pro,1244,0
099b99f5-00b9-4abd-888d-2292ed70d0cc,gpt-5.5,760,0
099b99f5-00b9-4abd-888d-2292ed70d0cc,openevidence,2197,0
09eb1da3-5617-4828-91ea-e6b60124e4c6,claude-opus-4-8,4531,0
09eb1da3-5617-4828-91ea-e6b60124e4c6,gemini-3.1-pro,3739,0
09eb1da3-5617-4828-91ea-e6b60124e4c6,gpt-5.5,1895,0
09eb1da3-5617-4828-91ea-e6b60124e4c6,openevidence,2566,0
0b6252d5-50d7-4cca-b962-4546fe1b056b,claude-opus-4-8,2183,0
0b6252d5-50d7-4cca-b962-4546fe1b056b,gemini-3.1-pro,2683,0
0b6252d5-50d7-4cca-b962-4546fe1b056b,gpt-5.5,1190,0
0b6252d5-50d7-4cca-b962-4546fe1b056b,openevidence,2582,0
0b6e709d-f977-425b-9b49-bee78e6a7023,claude-opus-4-8,2202,0
0b6e709d-f977-425b-9b49-bee78e6a7023,gemini-3.1-pro,582,0
0b6e709d-f977-425b-9b49-bee78e6a7023,gpt-5.5,1605,0
0b6e709d-f977-425b-9b49-bee78e6a7023,openevidence,1737,0
0f5b6ff2-0441-4f38-bdcc-97ffa20a2ac3,claude-opus-4-8,5923,0
0f5b6ff2-0441-4f38-bdcc-97ffa20a2ac3,gemini-3.1-pro,4183,0
0f5b6ff2-0441-4f38-bdcc-97ffa20a2ac3,gpt-5.5,4782,0
0f5b6ff2-0441-4f38-bdcc-97ffa20a2ac3,openevidence,4374,0
107959cf-7af0-4bfe-8e53-7669f4d493de,claude-opus-4-8,5892,0
107959cf-7af0-4bfe-8e53-7669f4d493de,gemini-3.1-pro,5665,0
107959cf-7af0-4bfe-8e53-7669f4d493de,gpt-5.5,5505,0
107959cf-7af0-4bfe-8e53-7669f4d493de,openevidence,3883,0
10875205-ddb7-4494-8de8-a908bdc3c4b1,claude-opus-4-8,4764,0
10875205-ddb7-4494-8de8-a908bdc3c4b1,gemini-3.1-pro,3902,0
10875205-ddb7-4494-8de8-a908bdc3c4b1,gpt-5.5,2298,0
10875205-ddb7-4494-8de8-a908bdc3c4b1,openevidence,4420,1
10d986a7-597d-4bb8-bb64-9243aebebeb9,claude-opus-4-8,9724,0
10d986a7-597d-4bb8-bb64-9243aebebeb9,gemini-3.1-pro,5713,0
10d986a7-597d-4bb8-bb64-9243aebebeb9,gpt-5.5,5022,0
10d986a7-597d-4bb8-bb64-9243aebebeb9,openevidence,6074,1
1106cf17-8ad6-43ac-9d99-d9b8f1124484,claude-opus-4-8,2617,0
1106cf17-8ad6-43ac-9d99-d9b8f1124484,gemini-3.1-pro,2333,0
1106cf17-8ad6-43ac-9d99-d9b8f1124484,gpt-5.5,1174,0
1106cf17-8ad6-43ac-9d99-d9b8f1124484,openevidence,2486,0
118415fb-c446-4f1a-9ba4-a75c4ce338f3,claude-opus-4-8,3917,0
118415fb-c446-4f1a-9ba4-a75c4ce338f3,gemini-3.1-pro,4370,0
118415fb-c446-4f1a-9ba4-a75c4ce338f3,gpt-5.5,3940,0
118415fb-c446-4f1a-9ba4-a75c4ce338f3,openevidence,3240,0
120f4352-9416-4cc5-8d39-9e3acaed2335,claude-opus-4-8,5224,0
120f4352-9416-4cc5-8d39-9e3acaed2335,gemini-3.1-pro,5176,0
120f4352-9416-4cc5-8d39-9e3acaed2335,gpt-5.5,3479,0
120f4352-9416-4cc5-8d39-9e3acaed2335,openevidence,5788,0
1251ff09-f34d-4486-9d64-bf120aa53cca,claude-opus-4-8,3037,0
1251ff09-f34d-4486-9d64-bf120aa53cca,gemini-3.1-pro,3123,0
1251ff09-f34d-4486-9d64-bf120aa53cca,gpt-5.5,1968,0
1251ff09-f34d-4486-9d64-bf120aa53cca,openevidence,4014,0
14b65d01-fb0a-4c60-96b0-4f53c4b636cf,claude-opus-4-8,2168,0
14b65d01-fb0a-4c60-96b0-4f53c4b636cf,gemini-3.1-pro,4378,0
14b65d01-fb0a-4c60-96b0-4f53c4b636cf,gpt-5.5,1973,0
14b65d01-fb0a-4c60-96b0-4f53c4b636cf,openevidence,4194,1
15551594-18ab-4efa-b0b5-81029702256b,claude-opus-4-8,4923,0
15551594-18ab-4efa-b0b5-81029702256b,gemini-3.1-pro,3517,0
15551594-18ab-4efa-b0b5-81029702256b,gpt-5.5,2840,0
15551594-18ab-4efa-b0b5-81029702256b,openevidence,3843,0
168b7031-80a8-48cd-8e23-046864ebcca6,claude-opus-4-8,3616,0
168b7031-80a8-48cd-8e23-046864ebcca6,gemini-3.1-pro,3867,0
168b7031-80a8-48cd-8e23-046864ebcca6,gpt-5.5,1615,0
168b7031-80a8-48cd-8e23-046864ebcca6,openevidence,3053,0
16c0fc15-6734-4d0c-962a-05dd4391207c,claude-opus-4-8,3120,0
16c0fc15-6734-4d0c-962a-05dd4391207c,gemini-3.1-pro,3981,0
16c0fc15-6734-4d0c-962a-05dd4391207c,gpt-5.5,1999,0
16c0fc15-6734-4d0c-962a-05dd4391207c,openevidence,3663,0
18972b64-8043-4ba5-ba67-803482bf81dd,claude-opus-4-8,2725,0
18972b64-8043-4ba5-ba67-803482bf81dd,gemini-3.1-pro,3598,0
18972b64-8043-4ba5-ba67-803482bf81dd,gpt-5.5,2324,0
18972b64-8043-4ba5-ba67-803482bf81dd,openevidence,2393,0
18fd89e7-5a3a-41cf-b849-10701c0f258c,claude-opus-4-8,2576,0
18fd89e7-5a3a-41cf-b849-10701c0f258c,gemini-3.1-pro,3551,0
18fd89e7-5a3a-41cf-b849-10701c0f258c,gpt-5.5,2490,0
18fd89e7-5a3a-41cf-b849-10701c0f258c,openevidence,3911,1
1a664586-4682-499d-90ee-7b675638251c,claude-opus-4-8,3335,0
1a664586-4682-499d-90ee-7b675638251c,gemini-3.1-pro,4392,0
1a664586-4682-499d-90ee-7b675638251c,gpt-5.5,2364,0
1a664586-4682-499d-90ee-7b675638251c,openevidence,3485,0
1ba1604e-256f-464e-8c6d-e67ebe23631f,claude-opus-4-8,3058,0
1ba1604e-256f-464e-8c6d-e67ebe23631f,gemini-3.1-pro,2253,0
1ba1604e-256f-464e-8c6d-e67ebe23631f,gpt-5.5,1205,0
1ba1604e-256f-464e-8c6d-e67ebe23631f,openevidence,2277,1
1d37e63a-6a54-4030-b120-78e51d4a33c1,claude-opus-4-8,3797,0
1d37e63a-6a54-4030-b120-78e51d4a33c1,gemini-3.1-pro,4053,0
1d37e63a-6a54-4030-b120-78e51d4a33c1,gpt-5.5,3476,0
1d37e63a-6a54-4030-b120-78e51d4a33c1,openevidence,3593,0
1f0f8345-9991-427f-a505-435fa999b98f,claude-opus-4-8,3442,0
1f0f8345-9991-427f-a505-435fa999b98f,gemini-3.1-pro,3186,0
1f0f8345-9991-427f-a505-435fa999b98f,gpt-5.5,1644,0
1f0f8345-9991-427f-a505-435fa999b98f,openevidence,3066,0
1f31941b-4807-484f-8881-8a37696c5331,claude-opus-4-8,1862,0
1f31941b-4807-484f-8881-8a37696c5331,gemini-3.1-pro,2287,0
1f31941b-4807-484f-8881-8a37696c5331,gpt-5.5,1933,0
1f31941b-4807-484f-8881-8a37696c5331,openevidence,2545,1
1f3484de-893f-4f24-9677-930bed0a8871,claude-opus-4-8,1986,0
1f3484de-893f-4f24-9677-930bed0a8871,gemini-3.1-pro,2520,0
1f3484de-893f-4f24-9677-930bed0a8871,gpt-5.5,331,0
1f3484de-893f-4f24-9677-930bed0a8871,openevidence,1996,0
21b0cc35-cc89-4412-ae59-1f949a689671,claude-opus-4-8,3512,0
21b0cc35-cc89-4412-ae59-1f949a689671,gemini-3.1-pro,2308,0
21b0cc35-cc89-4412-ae59-1f949a689671,gpt-5.5,1594,0
21b0cc35-cc89-4412-ae59-1f949a689671,openevidence,4441,1
21f17cb4-5fe0-40bb-8b01-07cfac459451,claude-opus-4-8,3457,0
21f17cb4-5fe0-40bb-8b01-07cfac459451,gemini-3.1-pro,3099,0
21f17cb4-5fe0-40bb-8b01-07cfac459451,gpt-5.5,3172,0
21f17cb4-5fe0-40bb-8b01-07cfac459451,openevidence,2379,0
2301da94-b7f4-4a7f-bbe2-1c78d2769440,claude-opus-4-8,2787,0
2301da94-b7f4-4a7f-bbe2-1c78d2769440,gemini-3.1-pro,2762,0
2301da94-b7f4-4a7f-bbe2-1c78d2769440,gpt-5.5,1907,0
2301da94-b7f4-4a7f-bbe2-1c78d2769440,openevidence,3600,1
2592b8cc-a797-4735-b16c-cc521fa84d43,claude-opus-4-8,4667,0
2592b8cc-a797-4735-b16c-cc521fa84d43,gemini-3.1-pro,4829,0
2592b8cc-a797-4735-b16c-cc521fa84d43,gpt-5.5,790,0
2592b8cc-a797-4735-b16c-cc521fa84d43,openevidence,5715,0
27d07305-fe4d-4151-8bd3-f4262b06c2b5,claude-opus-4-8,4643,0
27d07305-fe4d-4151-8bd3-f4262b06c2b5,gemini-3.1-pro,3238,0
27d07305-fe4d-4151-8bd3-f4262b06c2b5,gpt-5.5,2246,0
27d07305-fe4d-4151-8bd3-f4262b06c2b5,openevidence,2552,0
29799072-170b-46a5-817c-f5ffb9433286,claude-opus-4-8,3495,0
29799072-170b-46a5-817c-f5ffb9433286,gemini-3.1-pro,3527,0
29799072-170b-46a5-817c-f5ffb9433286,gpt-5.5,2180,0
29799072-170b-46a5-817c-f5ffb9433286,openevidence,4260,1
2bb555d5-1921-4350-8007-38b18e9cddc6,claude-opus-4-8,3063,0
