question_id,split
002a4c98-2f31-4de0-8820-fb48ae471712,test
00bf2180-f8e4-49b3-974b-7af8a4a3b34b,dev
0491057f-7f10-4b66-bf27-b027fae4565c,train
05100e52-4a85-44d7-98df-4fa5c773ea14,train
05d7fe92-7253-42f3-8875-3b1ff5f97f61,train
080cfd4b-f431-48c6-b434-f6f09ae6d2be,test
081cc387-6808-4aaa-b947-4475304345cf,dev
0978b441-dc3d-407b-a471-693ceb4da6f0,train
099b99f5-00b9-4abd-888d-2292ed70d0cc,train
09eb1da3-5617-4828-91ea-e6b60124e4c6,train
0b6252d5-50d7-4cca-b962-4546fe1b056b,test
0b6e709d-f977-425b-9b49-bee78e6a7023,dev
0f5b6ff2-0441-4f38-bdcc-97ffa20a2ac3,train
107959cf-7af0-4bfe-8e53-7669f4d493de,train
10875205-ddb7-4494-8de8-a908bdc3c4b1,train
10d986a7-597d-4bb8-bb64-9243aebebeb9,test
1106cf17-8ad6-43ac-9d99-d9b8f1124484,dev
118415fb-c446-4f1a-9ba4-a75c4ce338f3,train
120f4352-9416-4cc5-8d39-9e3acaed2335,train
1251ff09-f34d-4486-9d64-bf120aa53cca,train
14b65d01-fb0a-4c60-96b0-4f53c4b636cf,test
15551594-18ab-4efa-b0b5-81029702256b,dev
168b7031-80a8-48cd-8e23-046864ebcca6,train
16c0fc15-6734-4d0c-962a-05dd4391207c,train
18972b64-8043-4ba5-ba67-803482bf81dd,train
18fd89e7-5a3a-41cf-b849-10701c0f258c,test
1a664586-4682-499d-90ee-7b675638251c,dev
1ba1604e-256f-464e-8c6d-e67ebe23631f,train
1d37e63a-6a54-4030-b120-78e51d4a33c1,train
1f0f8345-9991-427f-a505-435fa999b98f,train
1f31941b-4807-484f-8881-8a37696c5331,test
1f3484de-893f-4f24-9677-930bed0a8871,dev
21b0cc35-cc89-4412-ae59-1f949a689671,train
21f17cb4-5fe0-40bb-8b01-07cfac459451,train
2301da94-b7f4-4a7f-bbe2-1c78d2769440,train
2592b8cc-a797-4735-b16c-cc521fa84d43,test
27d07305-fe4d-4151-8bd3-f4262b06c2b5,dev
29799072-170b-46a5-817c-f5ffb9433286,train
2bb555d5-1921-4350-8007-38b18e9cddc6,train
2c127941-6e21-4787-bc5b-db7fe9c1f2d6,train
2ce16c46-3376-4ebe-bac2-b5a679746fb1,test
2cef781c-7e47-4355-ba0e-c22ccea92066,dev
2e304e8c-8809-4df8-bf86-521a6a87dba1,train
2fc2559e-8a56-48ea-9b36-83a9a20ddcb1,train
3364023e-cd0f-4975-a1f5-048f9eb2654f,train
34d58159-a7be-4979-85be-99e135f9b4f9,test
