question_id,specialty,axis,opponent,flip,margin_bin,dispersion_bin,rubric_margin,rubric_winner,pw_llm_winner,pw_llm_agreement
b1099d8e-8795-40a7-ac53-cfea4cba2eb7,Allergy & Immunology,source_quality,gpt-5.5,True,weak,high_disp,-0.25,gpt-5.5,openevidence,0.75
ac51f7e3-f29a-4058-8065-e8e0e555d655,Psychiatry,clinical_utility,claude-opus-4-8,True,weak,high_disp,-0.25,claude-opus-4-8,openevidence,0.75
1a664586-4682-499d-90ee-7b675638251c,Allergy & Immunology,accuracy,gpt-5.5,True,weak,high_disp,-0.25,gpt-5.5,openevidence,0.5
10875205-ddb7-4494-8de8-a908bdc3c4b1,Endocrinology,clinical_utility,claude-opus-4-8,True,weak,high_disp,-0.25,claude-opus-4-8,openevidence,0.75
d10dc8d4-b911-4085-8da6-0baaf85be9f8,Nephrology,source_quality,gemini-3.1-pro,True,weak,high_disp,-0.25,gemini-3.1-pro,openevidence,0.75
8e7913d6-d335-4e68-a5c5-37fe0d15dde8,Allergy & Immunology,accuracy,gemini-3.1-pro,True,weak,high_disp,0.25,openevidence,gemini-3.1-pro,0.75
5aac9b27-26a0-43c1-a79f-d3dd9326f96f,Allergy & Immunology,clinical_utility,claude-opus-4-8,True,weak,low_disp,0.0833,openevidence,claude-opus-4-8,0.5
d10dc8d4-b911-4085-8da6-0baaf85be9f8,Nephrology,source_quality,gpt-5.5,True,weak,high_disp,-0.25,gpt-5.5,openevidence,0.5
29799072-170b-46a5-817c-f5ffb9433286,Internal Medicine,verifiability,claude-opus-4-8,True,weak,high_disp,-0.25,claude-opus-4-8,openevidence,0.75
1a664586-4682-499d-90ee-7b675638251c,Allergy & Immunology,accuracy,claude-opus-4-8,True,weak,high_disp,-0.25,claude-opus-4-8,openevidence,0.75
890aa5dc-8c0b-49d0-8b71-235b7952c466,Rheumatology,verifiability,gemini-3.1-pro,True,weak,high_disp,0.25,openevidence,gemini-3.1-pro,0.5
ba5ee80f-e041-45fc-ad96-062c55f1be58,Oncology / Hematology,source_quality,gpt-5.5,True,weak,high_disp,-0.25,gpt-5.5,openevidence,1.0
8b83a841-253a-4d25-98ee-109ae07f5141,Cardiology,completeness,gemini-3.1-pro,True,weak,high_disp,-0.25,gemini-3.1-pro,openevidence,1.0
beac65ee-72dd-4271-b9a0-62f8eeb465ca,Endocrinology,source_quality,gpt-5.5,True,weak,high_disp,-0.25,gpt-5.5,openevidence,0.75
8081744d-7dab-4ce1-b7ae-6988e7556e50,Infectious Disease,clinical_utility,gpt-5.5,True,weak,high_disp,-0.25,gpt-5.5,openevidence,0.75
c9408057-7857-4467-b84c-886415cc707c,Hospital-Based Medicine,verifiability,gpt-5.5,True,mid,high_disp,-0.5,gpt-5.5,openevidence,0.75
79cfe10c-b7bf-4ca3-b165-fa4e3642795c,Cardiology,clinical_utility,claude-opus-4-8,True,mid,high_disp,-0.5,claude-opus-4-8,openevidence,0.5
a8af8cf1-9aa3-4d34-b394-81c56de4f34f,Dermatology,completeness,gpt-5.5,True,mid,high_disp,-0.4167,gpt-5.5,openevidence,0.5
96d8a8cc-2e16-44df-a30a-24d358dc5af3,Family Medicine,completeness,gpt-5.5,True,mid,high_disp,-0.5,gpt-5.5,openevidence,0.5
786b5335-a700-413a-bb8d-da6bc778f04f,Endocrinology,source_quality,claude-opus-4-8,True,mid,high_disp,-0.5,claude-opus-4-8,openevidence,1.0
34d58159-a7be-4979-85be-99e135f9b4f9,Endocrinology,completeness,claude-opus-4-8,True,mid,high_disp,-0.5,claude-opus-4-8,openevidence,0.5
5aac9b27-26a0-43c1-a79f-d3dd9326f96f,Allergy & Immunology,completeness,gpt-5.5,True,mid,high_disp,-0.5,gpt-5.5,openevidence,0.75
