item_id,question_id,slot_A_provider,slot_B_provider,opponent
ITM-001,05d7fe92-7253-42f3-8875-3b1ff5f97f61,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-002,09eb1da3-5617-4828-91ea-e6b60124e4c6,openevidence,gpt-5.5,gpt-5.5
ITM-003,0b6252d5-50d7-4cca-b962-4546fe1b056b,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-004,0b6252d5-50d7-4cca-b962-4546fe1b056b,openevidence,gpt-5.5,gpt-5.5
ITM-005,0f5b6ff2-0441-4f38-bdcc-97ffa20a2ac3,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-006,10875205-ddb7-4494-8de8-a908bdc3c4b1,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-007,1251ff09-f34d-4486-9d64-bf120aa53cca,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-008,14b65d01-fb0a-4c60-96b0-4f53c4b636cf,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-009,168b7031-80a8-48cd-8e23-046864ebcca6,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-010,18fd89e7-5a3a-41cf-b849-10701c0f258c,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-011,18fd89e7-5a3a-41cf-b849-10701c0f258c,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-012,1a664586-4682-499d-90ee-7b675638251c,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-013,1a664586-4682-499d-90ee-7b675638251c,gpt-5.5,openevidence,gpt-5.5
ITM-014,21b0cc35-cc89-4412-ae59-1f949a689671,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-015,27d07305-fe4d-4151-8bd3-f4262b06c2b5,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-016,29799072-170b-46a5-817c-f5ffb9433286,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-017,2bb555d5-1921-4350-8007-38b18e9cddc6,gpt-5.5,openevidence,gpt-5.5
ITM-018,2cef781c-7e47-4355-ba0e-c22ccea92066,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-019,2cef781c-7e47-4355-ba0e-c22ccea92066,gpt-5.5,openevidence,gpt-5.5
ITM-020,2fc2559e-8a56-48ea-9b36-83a9a20ddcb1,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-021,34d58159-a7be-4979-85be-99e135f9b4f9,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-022,36009db6-fa13-4300-8ec3-cfb1c3be5ecd,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-023,39ebbd5a-2034-40fb-89ed-31ea0df9d132,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-024,4458569d-0a11-4196-9350-dc1de4e27565,gpt-5.5,openevidence,gpt-5.5
ITM-025,4538103f-6bda-4be4-8e38-ee72351a88d4,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-026,4ab96e9f-3c17-4712-86b7-59ad06a81f8d,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-027,5676841c-e084-45dd-a0f0-9bc018bf97ad,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-028,5676841c-e084-45dd-a0f0-9bc018bf97ad,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-029,5676841c-e084-45dd-a0f0-9bc018bf97ad,gpt-5.5,openevidence,gpt-5.5
ITM-030,58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-031,58a110a9-44d5-49c0-b073-522df3ec04d0,openevidence,gpt-5.5,gpt-5.5
ITM-032,5aac9b27-26a0-43c1-a79f-d3dd9326f96f,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-033,5aac9b27-26a0-43c1-a79f-d3dd9326f96f,gpt-5.5,openevidence,gpt-5.5
ITM-034,647eb9c0-27d0-49dd-abad-4a36b045b19d,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-035,68edcc22-362b-46bd-bdb0-fd6078567592,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-036,6ce73442-794e-4a4b-832f-84ee05470941,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-037,730bc013-2f40-4090-9b88-257bed19b5fa,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-038,786b5335-a700-413a-bb8d-da6bc778f04f,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-039,78811f60-4f3d-46a5-883d-37e0d8de0350,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-040,79cfe10c-b7bf-4ca3-b165-fa4e3642795c,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-041,79cfe10c-b7bf-4ca3-b165-fa4e3642795c,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-042,7cf6f25a-5121-44fb-8700-e7f258e8af98,openevidence,gpt-5.5,gpt-5.5
ITM-043,8081744d-7dab-4ce1-b7ae-6988e7556e50,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-044,8081744d-7dab-4ce1-b7ae-6988e7556e50,gpt-5.5,openevidence,gpt-5.5
ITM-045,890aa5dc-8c0b-49d0-8b71-235b7952c466,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-046,8b83a841-253a-4d25-98ee-109ae07f5141,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-047,8e7913d6-d335-4e68-a5c5-37fe0d15dde8,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-048,953c79e2-48c9-47cc-a6a6-8eb6236c46d5,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-049,953c79e2-48c9-47cc-a6a6-8eb6236c46d5,openevidence,gpt-5.5,gpt-5.5
ITM-050,96d8a8cc-2e16-44df-a30a-24d358dc5af3,gpt-5.5,openevidence,gpt-5.5
ITM-051,a686b2b7-449b-4051-903f-95f354b8ee75,gpt-5.5,openevidence,gpt-5.5
ITM-052,a8af8cf1-9aa3-4d34-b394-81c56de4f34f,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-053,a8af8cf1-9aa3-4d34-b394-81c56de4f34f,openevidence,gpt-5.5,gpt-5.5
ITM-054,ac51f7e3-f29a-4058-8065-e8e0e555d655,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-055,ae46bee7-30c2-4bed-bbe5-007f54101465,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-056,b1099d8e-8795-40a7-ac53-cfea4cba2eb7,gpt-5.5,openevidence,gpt-5.5
ITM-057,b8e77a45-ea26-4c57-b156-b33a28d93878,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-058,ba5ee80f-e041-45fc-ad96-062c55f1be58,gpt-5.5,openevidence,gpt-5.5
ITM-059,bd4bb448-0e7f-40a6-a90e-fc4134010942,gpt-5.5,openevidence,gpt-5.5
ITM-060,beac65ee-72dd-4271-b9a0-62f8eeb465ca,openevidence,gpt-5.5,gpt-5.5
ITM-061,beef50e5-907f-4d64-80db-defd901eb932,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-062,c0be7071-1914-44b6-8119-39756aa1b222,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-063,c1c5da1d-c36a-49da-b541-190aa546fbcf,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-064,c5e12e23-3b27-4150-a97b-ac43840d293f,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-065,c5e12e23-3b27-4150-a97b-ac43840d293f,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-066,c5e12e23-3b27-4150-a97b-ac43840d293f,openevidence,gpt-5.5,gpt-5.5
ITM-067,c86e6411-330d-4f51-84bf-6f9ff967b729,gpt-5.5,openevidence,gpt-5.5
ITM-068,c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,openevidence,gemini-3.1-pro
ITM-069,c9408057-7857-4467-b84c-886415cc707c,openevidence,gpt-5.5,gpt-5.5
ITM-070,c9f8bf8c-7960-4553-920c-696d7b88da0f,claude-opus-4-8,openevidence,claude-opus-4-8
ITM-071,c9f8bf8c-7960-4553-920c-696d7b88da0f,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-072,d10dc8d4-b911-4085-8da6-0baaf85be9f8,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-073,d10dc8d4-b911-4085-8da6-0baaf85be9f8,openevidence,gpt-5.5,gpt-5.5
ITM-074,dc3106bf-b213-40a4-bf94-53219b484539,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-075,de9a9028-d1ae-4d49-8d62-4d75566539f1,openevidence,gpt-5.5,gpt-5.5
ITM-076,df0a6bd4-a78d-4a85-96f0-d16006495e55,openevidence,gemini-3.1-pro,gemini-3.1-pro
ITM-077,ebc1f639-9d78-4952-a0cb-f524aae0a8db,openevidence,claude-opus-4-8,claude-opus-4-8
ITM-078,f6b9965e-a534-47d6-91d5-f4bf6f6b4e87,gpt-5.5,openevidence,gpt-5.5
ITM-079,fe83b81a-c6ae-42bf-9409-856929a0fce9,openevidence,claude-opus-4-8,claude-opus-4-8
