question_id,provider,judge,axis,score_1to4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,opus-4.8,accuracy,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,opus-4.8,clinical_utility,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,opus-4.8,source_quality,3
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,opus-4.8,completeness,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,opus-4.8,verifiability,3
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,opus-4.8,accuracy,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,opus-4.8,clinical_utility,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,opus-4.8,source_quality,3
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,opus-4.8,completeness,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,opus-4.8,verifiability,3
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gemini-3.5-flash,accuracy,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gemini-3.5-flash,clinical_utility,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gemini-3.5-flash,source_quality,3
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gemini-3.5-flash,completeness,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gemini-3.5-flash,verifiability,3
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,grok-4.3,accuracy,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,grok-4.3,clinical_utility,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,grok-4.3,source_quality,2
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,grok-4.3,completeness,3
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,grok-4.3,verifiability,2
58a110a9-44d5-49c0-b073-522df3ec04d0,gpt-5.5,opus-4.8,accuracy,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gpt-5.5,opus-4.8,clinical_utility,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gpt-5.5,opus-4.8,source_quality,3
58a110a9-44d5-49c0-b073-522df3ec04d0,gpt-5.5,opus-4.8,completeness,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gpt-5.5,opus-4.8,verifiability,3
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,grok-4.3,accuracy,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,grok-4.3,clinical_utility,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,grok-4.3,source_quality,2
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,grok-4.3,completeness,4
58a110a9-44d5-49c0-b073-522df3ec04d0,gemini-3.1-pro,grok-4.3,verifiability,3
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gpt-5.5,accuracy,3
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gpt-5.5,clinical_utility,4
58a110a9-44d5-49c0-b073-522df3ec04d0,claude-opus-4-8,gpt-5.5,source_quality,2
