question_id,opponent,judge,axis,vote
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,opus-4.8,accuracy,0
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,opus-4.8,clinical_utility,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,opus-4.8,source_quality,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,opus-4.8,completeness,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,opus-4.8,verifiability,1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,gemini-3.5-flash,accuracy,-1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,gemini-3.5-flash,clinical_utility,-1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,gemini-3.5-flash,source_quality,-1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,gemini-3.5-flash,completeness,-1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,gemini-3.5-flash,verifiability,-1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gemini-3.5-flash,accuracy,0
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gemini-3.5-flash,clinical_utility,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gemini-3.5-flash,source_quality,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gemini-3.5-flash,completeness,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gemini-3.5-flash,verifiability,1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,opus-4.8,accuracy,-1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,opus-4.8,clinical_utility,1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,opus-4.8,source_quality,1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,opus-4.8,completeness,1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,opus-4.8,verifiability,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gpt-5.5,accuracy,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gpt-5.5,clinical_utility,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gpt-5.5,source_quality,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gpt-5.5,completeness,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gpt-5.5,verifiability,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gemini-3.5-flash,accuracy,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gemini-3.5-flash,clinical_utility,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gemini-3.5-flash,source_quality,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gemini-3.5-flash,completeness,-1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,gemini-3.5-flash,verifiability,-1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,grok-4.3,accuracy,0
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,grok-4.3,clinical_utility,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,grok-4.3,source_quality,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,grok-4.3,completeness,1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,grok-4.3,verifiability,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,grok-4.3,accuracy,0
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,grok-4.3,clinical_utility,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,grok-4.3,source_quality,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,grok-4.3,completeness,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,grok-4.3,verifiability,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,opus-4.8,accuracy,0
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,opus-4.8,clinical_utility,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,opus-4.8,source_quality,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,opus-4.8,completeness,1
c9408057-7857-4467-b84c-886415cc707c,gemini-3.1-pro,opus-4.8,verifiability,0
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,grok-4.3,accuracy,-1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,grok-4.3,clinical_utility,0
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,grok-4.3,source_quality,-1
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,grok-4.3,completeness,0
c9408057-7857-4467-b84c-886415cc707c,claude-opus-4-8,grok-4.3,verifiability,1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,opus-4.8,accuracy,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,opus-4.8,clinical_utility,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,opus-4.8,source_quality,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,opus-4.8,completeness,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,opus-4.8,verifiability,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gemini-3.5-flash,accuracy,0
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gemini-3.5-flash,clinical_utility,1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gemini-3.5-flash,source_quality,1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gemini-3.5-flash,completeness,0
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gemini-3.5-flash,verifiability,0
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gpt-5.5,accuracy,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gpt-5.5,clinical_utility,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gpt-5.5,source_quality,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gpt-5.5,completeness,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,gpt-5.5,verifiability,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,opus-4.8,accuracy,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,opus-4.8,clinical_utility,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,opus-4.8,source_quality,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,opus-4.8,completeness,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,opus-4.8,verifiability,0
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,grok-4.3,accuracy,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,grok-4.3,clinical_utility,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,grok-4.3,source_quality,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,grok-4.3,completeness,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,grok-4.3,verifiability,0
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,grok-4.3,accuracy,0
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,grok-4.3,clinical_utility,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,grok-4.3,source_quality,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,grok-4.3,completeness,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gpt-5.5,grok-4.3,verifiability,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,gemini-3.5-flash,accuracy,1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,gemini-3.5-flash,clinical_utility,1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,gemini-3.5-flash,source_quality,1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,gemini-3.5-flash,completeness,1
76ec2dc6-7747-4627-a15a-b7ac82970520,claude-opus-4-8,gemini-3.5-flash,verifiability,0
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gpt-5.5,accuracy,-1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gpt-5.5,clinical_utility,-1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gpt-5.5,source_quality,-1
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gpt-5.5,completeness,0
c9408057-7857-4467-b84c-886415cc707c,gpt-5.5,gpt-5.5,verifiability,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gemini-3.1-pro,grok-4.3,accuracy,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gemini-3.1-pro,grok-4.3,clinical_utility,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gemini-3.1-pro,grok-4.3,source_quality,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gemini-3.1-pro,grok-4.3,completeness,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gemini-3.1-pro,grok-4.3,verifiability,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gemini-3.1-pro,gemini-3.5-flash,accuracy,-1
76ec2dc6-7747-4627-a15a-b7ac82970520,gemini-3.1-pro,gemini-3.5-flash,clinical_utility,-1
