question_id,opponent,axis,n_votes,mean_vote
002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.1-pro,accuracy,1,0.0
002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.1-pro,clinical_utility,1,1.0
002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.1-pro,completeness,1,1.0
002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.1-pro,source_quality,1,1.0
002a4c98-2f31-4de0-8820-fb48ae471712,gemini-3.1-pro,verifiability,1,1.0
002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.5,accuracy,1,0.0
002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.5,clinical_utility,1,1.0
002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.5,completeness,1,1.0
002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.5,source_quality,1,1.0
002a4c98-2f31-4de0-8820-fb48ae471712,gpt-5.5,verifiability,1,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,claude-opus-4-8,accuracy,2,0.5
00368a91-5f7f-4361-84bc-15701d6053bb,claude-opus-4-8,clinical_utility,2,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,claude-opus-4-8,completeness,2,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,claude-opus-4-8,source_quality,2,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,claude-opus-4-8,verifiability,2,0.5
00368a91-5f7f-4361-84bc-15701d6053bb,gemini-3.1-pro,accuracy,1,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,gemini-3.1-pro,clinical_utility,1,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,gemini-3.1-pro,completeness,1,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,gemini-3.1-pro,source_quality,1,1.0
00368a91-5f7f-4361-84bc-15701d6053bb,gemini-3.1-pro,verifiability,1,1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gemini-3.1-pro,accuracy,1,-1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gemini-3.1-pro,clinical_utility,1,-1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gemini-3.1-pro,completeness,1,-1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gemini-3.1-pro,source_quality,1,-1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gemini-3.1-pro,verifiability,1,-1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gpt-5.5,accuracy,1,1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gpt-5.5,clinical_utility,1,1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gpt-5.5,completeness,1,1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gpt-5.5,source_quality,1,1.0
0049403c-14f3-42c6-a458-c3e8c23ff06b,gpt-5.5,verifiability,1,0.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,claude-opus-4-8,accuracy,1,1.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,claude-opus-4-8,clinical_utility,1,1.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,claude-opus-4-8,completeness,1,1.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,claude-opus-4-8,source_quality,1,1.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,claude-opus-4-8,verifiability,1,1.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,gemini-3.1-pro,accuracy,1,0.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,gemini-3.1-pro,clinical_utility,1,1.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,gemini-3.1-pro,completeness,1,1.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,gemini-3.1-pro,source_quality,1,0.0
007e7c6b-4553-4eef-a6f8-c8577fa35243,gemini-3.1-pro,verifiability,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,claude-opus-4-8,accuracy,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,claude-opus-4-8,clinical_utility,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,claude-opus-4-8,completeness,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,claude-opus-4-8,source_quality,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,claude-opus-4-8,verifiability,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,gemini-3.1-pro,accuracy,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,gemini-3.1-pro,clinical_utility,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,gemini-3.1-pro,completeness,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,gemini-3.1-pro,source_quality,1,1.0
01517059-bf80-45cb-ad1a-f2412371b2f0,gemini-3.1-pro,verifiability,1,0.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,claude-opus-4-8,accuracy,1,0.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,claude-opus-4-8,clinical_utility,1,-1.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,claude-opus-4-8,completeness,1,-1.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,claude-opus-4-8,source_quality,1,0.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,claude-opus-4-8,verifiability,1,-1.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gemini-3.1-pro,accuracy,3,0.3333333333333333
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gemini-3.1-pro,clinical_utility,3,1.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gemini-3.1-pro,completeness,3,0.3333333333333333
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gemini-3.1-pro,source_quality,3,0.6666666666666666
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gemini-3.1-pro,verifiability,3,0.3333333333333333
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gpt-5.5,accuracy,1,0.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gpt-5.5,clinical_utility,1,-1.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gpt-5.5,completeness,1,0.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gpt-5.5,source_quality,1,0.0
01c8fd1c-cb80-4e27-b5ed-05cc09226f8f,gpt-5.5,verifiability,1,0.0
01e93f69-7e48-4698-9ee5-226fd3943e55,claude-opus-4-8,accuracy,3,0.0
01e93f69-7e48-4698-9ee5-226fd3943e55,claude-opus-4-8,clinical_utility,3,0.6666666666666666
01e93f69-7e48-4698-9ee5-226fd3943e55,claude-opus-4-8,completeness,3,1.0
01e93f69-7e48-4698-9ee5-226fd3943e55,claude-opus-4-8,source_quality,3,1.0
01e93f69-7e48-4698-9ee5-226fd3943e55,claude-opus-4-8,verifiability,3,0.3333333333333333
01e93f69-7e48-4698-9ee5-226fd3943e55,gpt-5.5,accuracy,1,0.0
01e93f69-7e48-4698-9ee5-226fd3943e55,gpt-5.5,clinical_utility,1,-1.0
01e93f69-7e48-4698-9ee5-226fd3943e55,gpt-5.5,completeness,1,1.0
01e93f69-7e48-4698-9ee5-226fd3943e55,gpt-5.5,source_quality,1,1.0
01e93f69-7e48-4698-9ee5-226fd3943e55,gpt-5.5,verifiability,1,0.0
021d4e21-9f26-43d3-a047-d92d41a4b923,claude-opus-4-8,accuracy,1,0.0
021d4e21-9f26-43d3-a047-d92d41a4b923,claude-opus-4-8,clinical_utility,1,1.0
021d4e21-9f26-43d3-a047-d92d41a4b923,claude-opus-4-8,completeness,1,1.0
021d4e21-9f26-43d3-a047-d92d41a4b923,claude-opus-4-8,source_quality,1,0.0
021d4e21-9f26-43d3-a047-d92d41a4b923,claude-opus-4-8,verifiability,1,1.0
021d4e21-9f26-43d3-a047-d92d41a4b923,gemini-3.1-pro,accuracy,1,1.0
021d4e21-9f26-43d3-a047-d92d41a4b923,gemini-3.1-pro,clinical_utility,1,1.0
021d4e21-9f26-43d3-a047-d92d41a4b923,gemini-3.1-pro,completeness,1,1.0
021d4e21-9f26-43d3-a047-d92d41a4b923,gemini-3.1-pro,source_quality,1,1.0
021d4e21-9f26-43d3-a047-d92d41a4b923,gemini-3.1-pro,verifiability,1,0.0
02b9afae-f5de-4175-80e5-9aa12067ec24,gemini-3.1-pro,accuracy,1,-1.0
